Name,Image,Cost 1,Cost 2,Cost #,Cost 3,Cost on Hit 1,Cost on Hit 2,Cantrip,Spell,Concentration,Ritual,DMG1,DMG1 Type,DMG2,DMG2 Type,DMG3,DMG3 Type,DMG4,DMG4 Type,DMG5,DMG5 Type,DMG6,DMG6 Type,Range,Area,Area Type,Push,Pull,Special WA,WA,Illithid Power,Attack Roll Type,On Miss,Attack Type,Recharge,School,Spell Level,ST Ability,ST Base DC,ST DC Type,Half DMG on Save,On Save,Condition 1,Condition 1 ST Ability,Condition 1 Base DC,Condition 1 DC Type,Condition 1 Duration,Condition 2,Condition 2 ST Ability,Condition 2 Base DC,Condition 2 DC Type,Condition 2 Duration,Additional DMG per Spell Level,DMG User Level 1,DMG Increase 1,DMG User Level 2,DMG Increase 2,DMG User Level 3,DMG Increase 3,Additional DMG Type,Additional Target Per Spell Level,Subactions,Areas,Creatures,Items,Healing,Targets,Desc1,Desc2,Levels,,,,Spells,Non Spells,Cantrips,Illithid Powers,Weapon Actions
A Coven of Hags,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,Radius,,,FALSE,FALSE,FALSE,,,,Per Combat,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,"This action creates illusory copies of Auntie Ethel around the arena, while shrouding the original in Invisibility,",You'll never find your Auntie Ethel.,,,,,Absolute's Talisman: Aid,A Coven of Hags,Acid Splash,Ability Drain,Absolute Power
Abjure Enemy,,Action,Channel Oath Charge,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,18.0m,,,,,FALSE,FALSE,FALSE,,,,,,,,,,FALSE,Target is  Slowed instead,Abjure Enemy: Frightened,WIS,,Spell Save DC,3 Turns,Abjure Enemy: Slow,,,,3 Turns,,,,,,,,,FALSE,,,,,,,Abjure Enemy is an Oath of Vengeance Paladin class action. This ability allows them to Frighten an enemy.,"Frighten an enemy. They have Disadvantage on ability checks and Attack rolls, and they cannot move. Fiends and undead have Disadvantage on this Saving Throw",,,,,Activate Call Lightning,Abjure Enemy,Activate Witch Bolt,Absorb Intellect,Backbreaker
Absolute Power,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,STR,Weapon,WD,Weapon,1d6,Force,,,,,,,1.5m,,,5.0m,,TRUE,TRUE,FALSE,Melee,,Melee,Short Rest,,,,,,FALSE,Target isn't pushed back.,Pushed*,STR,,Spell Save DC,,,,,,,,,,,,,,,FALSE,,,,,,,Absolute Power is a weapon action granted by Faithbreaker that deals additional ⁠Force damage and pushes targets away.,A surge of Divine energy accompanies your swing. It deals an additional 1d6⁠⁠Force damage and possibly pushes your target back 5 m / 17 ft.,,,,,Aid,Absolute Power,Blade Ward,Augmented Shield of Thralls,Blinding Shot
Absolute's Talisman: Aid,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,,,,Abjuration,2,,,,FALSE,,Aid (5),,,,Long Rest,,,,,,,,,,,,,,FALSE,,,,,5⁠Healing,Self,Absolute's Talisman: Aid is a level 2 abjuration spell. This spell allows the Absolute's Talisman's wearer to heal themselves for 5⁠⁠hit points and increase their hit points for the same amount.,Heal yourself and increase your hit point maximum by 5⁠⁠hit points.,Casting this spell at a higher level grants no additional benefit.,,,,Animal Friendship,Absorb Intellect,Bone Chill,Black Hole,Blood Money
Absorb Intellect,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,9.0m,,,,,FALSE,FALSE,TRUE,,,,Short Rest,,,,,,FALSE,,Absorbed Intellect,INT,,Spell Save DC,5 Turns,,,,,,,,,,,,,,FALSE,,,,,1d8⁠Healing (On initial application) + 2d8⁠Healing (After 1 turn) + 3d8⁠Healing (After 2 turns) + 4d8⁠Healing (After 3 turn) + 5d8⁠Healing (After 4 turns),,Absorb Intellect is an illithid power which saps a target's Intelligence and heals the user over time. The healing per turn and Intelligence reduction starts at 1d8⁠⁠hit points and -1 respectively and increases by a stacking 1d8⁠⁠hit points and -1 reduction each subsequent turn for 5 turns.,"Gobble up a foe's intellect, lowering their Intelligence by 1 per turn and healing your wounds for 5 turns.",,,,,Animate Dead,Acid Breath,Booming Blade,Charm,Bloodletting
Acid Breath,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,2d6,Acid,,,,,,,,,,,,5.0m,Line,,,FALSE,FALSE,FALSE,,,,Short Rest,,,DEX,8,CON+Prof,TRUE,,,,,,,,,,,,,6,1d6⁠⁠,11,2d6,,,Acid,FALSE,,,,,,Self,Acid Breath is a Dragonborn racial action. This ability allows them to breathe a column of damaging acid in a target direction.,Spew forth a line of acid.,"At character level 6, the damage increases to 3d6⁠Acid. At character level 11, the damage increases to 4d6⁠Acid.",,,,Animate Dead (Balthazar),Acidic Regurgitation,Bursting Sinew,Concentrated Blast,Bolt of Celestial Light
Acid Splash,,Action,,,,,,TRUE,FALSE,FALSE,FALSE,1d6,Acid,,,,,,,,,,,18.0m,2.0m,Radius,,,FALSE,FALSE,FALSE,,,,,Conjuration,,DEX,,Spell Save DC,FALSE,,,,,,,,,,,,,5,1d6,10,2d6,,,Acid,FALSE,,,,,,,Acid Splash is a cantrip (Conjuration). It deals ⁠Acid damage to enemies in a small area.,Throw a bubble of acid that damages each creature it hits.,"At character level 5, the damage increases to 2d6⁠Acid. At character level 10, the damage increases to 3d6⁠Acid.",,,,Animate Dead (Duergar),Adjust Seeming,Conjure Us,Cull the Weak,Cleave
Acidic Regurgitation,,Action,,,,,,FALSE,FALSE,FALSE,FALSE,STR,Acid,6d8,Acid,,,,,,,,,4.0m,,,,,FALSE,FALSE,FALSE,,,,Per Turn,,,,,,TRUE,,Moderately Inebriated,CON,16,,2 Turns,,,,,,,,,,,,,,FALSE,,Acid,,,,,Acidic Regurgitation is an action available to Thisobald Thorm while he has the condition Acid Reflux. He vomits up acid in an area and becomes slightly more inebriated.,"A sip from the Brewer's special booze causes him to vomit acid, covering creatures and creating an acid puddle.",,,,,Animate Dead: Flying Ghoul,An Apple a Day,Dancing Lights,Displace,Colossal Onslaught
Activate Call Lightning,,Action,,,,,,FALSE,TRUE,FALSE,FALSE,3d10,Lightning,,,,,,,,,,,18.0m,2.0m,Radius,,,FALSE,FALSE,FALSE,,,,,Conjuration,3,DEX,,Spell Save DC,TRUE,,,,,,,,,,,,1d10,,,,,,,Lightning,FALSE,,,,,,,Activate Call Lightning is a level 3 conjuration spell. This spell allows spellcasters to call down lightning again to hit all targets within range. It can only be obtained while concentrating on Call Lightning.,Call down more lightning to hit all targets within range.,"If  Call Lightning was cast using a 4th level spell slot or higher, damage increases by 1d10⁠Lightning for each spell slot level above 3rd.",,,,Animate Dead: Flying Ghoul Flock,Animating Spores,Eldritch Blast,Displacer Beast Shape,Concussive Smash
Activate Witch Bolt,,Action,,,,,,TRUE,FALSE,FALSE,FALSE,1d12,Lightning,,,,,,,,,,,30.0m,,,,,FALSE,FALSE,FALSE,,,,,Evocation,,,,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,Activate Witch Bolt is a cantrip (Evocation). It allows spellcasters to electrocute targets connected by Witch Bolt dealing 1d12⁠Lightning damage.,"Activate the bolt and deal 1d12⁠Lightning. If not activated each turn, the arc dissipates and the spell ends.",,,,,Animate Dead: Ghoul,Animus Screech,Enlarge (Duergar),Extract Brain,Corrosive Strike
