Area,,Surface,Area,Cloud,Dippable,Conditions,Desc1,Desc2
Acid,,TRUE,FALSE,FALSE,FALSE,Acid,Acid is a surface that decreases Armour Class by 2 when stepped on.,Reduces  Armour Class by 2.
Alcohol,,TRUE,FALSE,FALSE,FALSE,,Alcohol is a type of surface created by throwing or otherwise breaking an alcoholic beverage. It can be ignited or frozen.,Flammable.
Ash,,FALSE,FALSE,FALSE,FALSE,,Ash is a type of surface that appears after a Fire surface has burned out.,Fine and formless dust. Whether treasure or trinket before is lost to the flames.
Black Puddle,,TRUE,FALSE,FALSE,FALSE,Despair,Black Puddle is a type of surface. It inflicts  Despair to those standing on it.   Properties   Type: Surface,Fine and formless dust. Whether treasure or trinket before is lost to the flames.
Black Tentacles,,FALSE,FALSE,FALSE,FALSE,"Black Tentacles,Difficult Terrain",Black Tentacles is a surface that significantly slows creatures passing through it.,"Squirming, ebony tentacles fill the area, turning it into  Difficult Terrain, and dealing 3~18⁠⁠Bludgeoning damage to all creatures entering it and  Smothering them."
Blade Barrier,,FALSE,TRUE,FALSE,FALSE,Blade Barrier,Blade Barrier is an area created by Blade Barrier. It creates a damaging area of blades that deals damage to all who enter it.   Properties   Type: Summoned,"Squirming, ebony tentacles fill the area, turning it into  Difficult Terrain, and dealing 3~18⁠⁠Bludgeoning damage to all creatures entering it and  Smothering them."
Blood,,TRUE,FALSE,FALSE,FALSE,,Blood is a surface that is commonly created when living creatures receive damage.,Douses unprotected flames. Can be frozen.
Caustic Brine,,FALSE,FALSE,FALSE,FALSE,Caustic Brine,Caustic Brine is a type of surface created by throwing or breaking a Caustic Bulb. It also appears after destroying some environmental clutter found on Nautiloid such as Brine Bulb and Brain Jar.,A pungent odour and acidic heat rise from this peculiar liquid. Deals 1d4⁠⁠Acid damage per turn.
Cloud of Daggers,,FALSE,TRUE,FALSE,FALSE,Cloud of Daggers,Cloud of Daggers is an area created by Cloud of Daggers. It creates a damaging area of blades that deals damage to all who enter it.,Spinning daggers fill the air. Anyone inside the whirlwind takes 4d4⁠⁠Slashing each turn.
Cloudkill,,FALSE,FALSE,TRUE,FALSE,Cloudkill,Cloudkill is a cloud that deals significant poison damage every turn a creature remains within it.,Creatures who remain in the cloud take heavy poison damage. The cloud also heavily obscures what's in it.
