,,,,,,,,,,,,
Class,,Start HP,Level HP,Spell Cast,ST Proficiences,Weapon Group Proficiencies,Weapon Proficiencies,Armour Proficiencies,Skill Proficiencies,# of Skills,Spellcaster,Default Actions
Barbarian,,12,7,CHA,"STR, CON","Simple, Martial",,"Light, Medium, Shields","Animal Handling, Athletics, Intimidation, Nature, Survival, Perception",2,0,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Bard,,8,5,CHA,"DEX, CHA",Simple,"Hand Crossbows, Rapiers, Longswords, Shortswords",Light,"Acrobatics, Athletics, Deception, Insight, Intimidation, Investigation, Perception, Performance, Persuasion, Sleight of Hand, Stealth, Arcana, History, Nature, Religion, Animal Handling, Medicine, Survival",3,1,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Cleric,,8,5,WIS,"WIS, CHA",Simple,"Flails, Morningstars","Light, Medium, Shields","History, Insight, Medicine, Persuasion, Religion",2,1,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Druid,,8,5,WIS,"INT, WIS",,"Clubs, Daggers, Javelins, Maces, Quarterstaves, Scimitars, Sickles, Spears","Light, Medium, Shields","Arcana, Animal Handling, Insight, Medicine, Nature, Perception, Religion, Survival",2,1,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Fighter,,10,6,INT,"STR, CON","Simple, Martial",,"Light, Medium, Heavy, Shields","Acrobatics, Animal Handling, Athletics, History, Insight, Intimidation, Perception, Survival",2,0,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Monk,,8,5,WIS,"STR, DEX",Simple,Shortswords,,"History, Insight, Religion, Acrobatics, Stealth, Athletics",2,0,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Paladin,,10,6,CHA,"WIS, CHA","Simple, Martial",,"Light, Medium, Heavy, Shields","Athletics, Insight, Intimidation, Medicine, Persuasion, Religion",2,0.5,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Ranger,,10,6,WIS,"STR, DEX","Simple, Martial",,"Light, Medium, Shields","Animal Handling, Athletics, Insight, Investigation, Nature, Perception, Stealth, Survival",3,0.5,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Rogue,,8,5,INT,"DEX, INT",Simple,"Hand Crossbows, Longswords, Rapiers, Shortswords",Light,"Acrobatics, Athletics, Deception, Insight, Intimidation, Investigation, Perception, Performance, Persuasion, Sleight of Hand, Stealth",4,0,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Sorcerer,,6,4,CHA,"CON, CHA",,"Daggers, Quarterstaves, Light Crossbows",,"Arcana, Deception, Insight, Intimidation, Persuasion, Religion",2,1,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Warlock,,8,5,CHA,"WIS, CHA",Simple,,Light,"Arcana, Deception, History, Intimidation, Investigation, Nature, Religion",2,1,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
Wizard,,6,4,INT,"INT, WIS",,"Daggers, Quarterstaves, Light Crossbows",,"Arcana, History, Investigation, Insight, Medicine, Religion",2,1,"Dash, Dip, Disengage, Help, Hide, Improvised Melee Weapon, Jump, Shove, Throw, Unarmed Strike"
