Name,Image,AC Bonus,Base AC,ST Ability,ST Bonus,ST Factor,Immunity,Resistance,Abilities,Ability Bonus,Ability Max,Additional HP,Skills,Skill Bonus,Skill Factor,Movement,Critical Chance,AR Types,AR Bonus,AR Factor,Attack Type,Weapon DMG,Weapon DMG Type,Death ST Factor,Ability Check,Ability Check Bonus,Ability Check Factor,Spell Save DC Bonus,Vulnerability,Immune to Conditions,Cant Move,Cant Act,Cant React,Initiative,Opponent AR Type,Opponent AR Factor,Darkvision,Skill Proficiency,Temporary HP,Ignore,DONE,Description
A Clown in Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Rue the day you crossed a fey. You were cruel to Dolly Thrice; now you'll have to pay the price. This condition can only be obtained by smashing the Moonlantern held by Kar'niss. Applies clown makeup to the victim.
A Mist Most Scarlet,,,,WIS,,ADV,,,STR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,FALSE,TRUE,"Orin has gained 25 temporary hit points, a +2 bonus to Strength, and advantage on Wisdom  Saving throws."
A Most Bloody Inheritance,,,,,,,,,,,,,,,,,+2,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,The Dread Lord Bhaal looks favourably on his chosen. You can cast  Stunning Gaze and your Critical Hit Attack Roll requirement is reduced by 2. This effect can stack.
Aberrant Shape,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Your Intellect Devourer form has 21 Hit Points. You gain the  Claws,  Devour Intellect, and  Synaptic Discharge abilities."
Ability Drain: Dexterity,,,,,,,,,DEX,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Dexterity reduced by  Ability Drain
Ability Drain: Strength,,,,,,,,,STR,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Strength reduced by  Ability Drain.
Abjure Enemy: Frightened,,,,,,,,,,,,,,,DIS,,,,,DIS,,,,,,,DIS,,,,TRUE,,,,,,,,,FALSE,TRUE,The affected creature cannot move. Frightened creatures also have  Disadvantage on  Ability checks and Attack rolls.
Abjure Enemy: Slow,,,,,,,,,,,,,,,,x0.5,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,The affected creature's Movement speed is halved. Taking damage ends this condition.
Absolute Consumption,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,"All of the creature's abilities are reduced by 5. When this effect ends, it drops  Prone"
Absolute's Enemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV,,,,FALSE,TRUE,Enemies have  Advantage on attacks against you.
Absorb Elements: Acid Damage,,,,,,,,,,,,,,,,,,,,,,1d6,Acid,,,,,,,,,,,,,,,,,FALSE,TRUE,The affected entity deals an additional 1d6Acid damage the next time it deals damage with a weapon.
Absorb Elements: Cold Damage,,,,,,,,,,,,,,,,,,,,,,1d6,Cold,,,,,,,,,,,,,,,,,FALSE,TRUE,The affected entity deals an additional 1d6Cold damage the next time it deals damage with a weapon.
Absorb Elements: Fire Damage,,,,,,,,,,,,,,,,,,,,,,1d6,Fire,,,,,,,,,,,,,,,,,FALSE,TRUE,The affected entity deals an additional 1d6Fire damage the next time it deals damage with a weapon.
Absorb Elements: Lightning Damage,,,,,,,,,,,,,,,,,,,,,,1d6,Lightning,,,,,,,,,,,,,,,,,FALSE,TRUE,The affected entity deals an additional 1d6Lightning damage the next time it deals damage with a weapon.
Absorb Elements: Thunder Damage,,,,,,,,,,,,,,,,,,,,,,1d6,Thunder,,,,,,,,,,,,,,,,,FALSE,TRUE,The affected entity deals an additional 1d6Thunder damage the next time it deals damage with a weapon.
Absorbed Essence: Abazigal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Sarevok's attacks deal maximum damage.
Absorbed Essence: Amelyssan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Sarevok's attacks now heal him by 2d12hit points each time.
Absorbed Essence: Illasera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paralysed, Restrained",,,,,,,,,,FALSE,TRUE,"Sarevok is permanently  Hastened and can't be  Paralysed,  Restrained, or have his movement speed reduced in any way."
Absorbed Essence: Sendai,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Sarevok's Armour Class Armour Class is increased by 6.
Absorbed Intellect,,,,,,,,,INT,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Intelligence is being reduced by 1.
Acid,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Reduces Armour Class by 2.
Acid Infusion,,,,,,,,,,,,,,,,,,,,,,1d4,Acid,,,,,,,,,,,,,,,,,FALSE,TRUE,The affected entity deals an additional 1d4Acid the next time it deals damage with a weapon.
Acid Reflux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,"Acid damage has spoiled Thisobald's special brew, letting him use  Acidic Regurgitation."
Acid Resistance,,,,,,,,Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,Resistant to Acid damage.
Acid Resistance Aura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,The fantastical powers of this hallucinatory imp give all nearby creatures Resistance to Acid damage.
Action Surge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Can take an extra Action this turn.
