,,,,,,,Casting,,,,,,,,,,,,,,,Ability,,,,,,Saving Throws,,,,,,,,
Creature,Dificulty,Level,HP,AC,,Prof,Ability,DC,,,,,,,,,,,,,,STR,DEX,CON,INT,WIS,CHA,STR,DEX,CON,INT,WIS,CHA,Features,Conditions,Additional Actions
Olam,Balanced,6,10,10,0,+3,,,,,,,,,,,,,,,,12,10,10,16,12,10,+1,0,0,+6,+4,0,Opportunity Attack,Dead,
Spectator,Balanced,5,118,14,+2,+3,INT,12,,,,,,,,,,,,,,8,14,14,13,14,11,-1,+2,+2,+1,+2,0,"Darkvision,Opportunity Attack",,
Spectator,Explorer,5,82,14,+2,+5,INT,14,,,,,,,,,,,,,,8,14,14,13,14,11,-1,+2,+2,+1,+2,0,"Darkvision,Opportunity Attack",,
Spectator,Tactician,5,153,14,+2,+3,INT,14,,,,,,,,,,,,,,8,14,14,13,14,11,-1,+2,+2,+1,+2,0,"Darkvision,Opportunity Attack",Panicked Sentinel,
Spectator,Honour,5,153,14,+2,+3,INT,17,,,,,,,,,,,,,,17,14,14,18,14,11,+3,+2,+2,+4,+2,0,"Darkvision,Opportunity Attack","Legendary Action: Ocular Nightmare,Panicked Sentinel",Ocular Nightmare
Minthara,Balanced,6,52,16,+2,+3,,,,,,,,,,,,,,,,16,15,14,10,12,17,+6,+5,+5,+3,+7,+9,"Charm,Dual Wielder,Dual Wielder: Bonus Armour Class,Defence,Divine Health,Drow Weapon Training,Extra Attack,Favourable Beginnings,Fey Ancestry,Focused Stride,Opportunity Attack,Psionic Backlash,Stealthy,Superior Darkvision,Xyanyde's Fire",Aura of Protection,
Minthara,Tactician,6,67,16,+2,+3,,,,,,,,,,,,,,,,16,15,14,10,12,17,+6,+5,+5,+3,+7,+9,"Charm,Dual Wielder,Dual Wielder: Bonus Armour Class,Defence,Divine Health,Drow Weapon Training,Extra Attack,Favourable Beginnings,Fey Ancestry,Focused Stride,Opportunity Attack,Psionic Backlash,Stealthy,Superior Darkvision,Xyanyde's Fire",Aura of Protection,
Minthara,Honour,6,67,16,+2,+3,,,,,,,,,,,,,,,,16,15,14,10,12,17,+6,+5,+5,+3,+7,+9,"Charm,Dual Wielder,Dual Wielder: Bonus Armour Class,Defence,Divine Health,Drow Weapon Training,Extra Attack,Favourable Beginnings,Fey Ancestry,Focused Stride,Opportunity Attack,Psionic Backlash,Stealthy,Superior Darkvision,Xyanyde's Fire",Aura of Protection,
Sarevok Anchev,Balanced,16,262,20,+5,+5,,,,,,,,,,,,,,,,20,20,20,16,14,15,+10,+5,+10,+3,+2,+2,"Exceptional Plate,Extra Attack,First Blood,Opportunity Attack,Perfect Sentry,Permanently Armed",Legendary Resistance,
Sarevok Anchev,Explorer,16,183,20,+5,+7,,,,,,,,,,,,,,,,20,20,20,16,14,15,+12,+5,+12,+3,+2,+2,"Exceptional Plate,Extra Attack,First Blood,Opportunity Attack,Perfect Sentry,Permanently Armed",,
Sarevok Anchev,Tactician,16,340,20,+5,+5,,,,,,,,,,,,,,,,20,20,20,16,14,15,+10,+5,+10,+3,+2,+2,"Exceptional Plate,Extra Attack,First Blood,Opportunity Attack,Perfect Sentry,Permanently Armed",Legendary Resistance: Incapacitation,
Sarevok Anchev,Honour,16,340,20,+5,+5,,,,,,,,,,,,,,,,20,20,20,16,14,15,+10,+5,+10,+3,+2,+2,"Legendary Action: Murderous Retort,Exceptional Plate,Extra Attack,First Blood,Opportunity Attack,Perfect Sentry,Permanently Armed",Legendary Resistance: Incapacitation,Murderous Retort
Cloaker Phantasm,Balanced,8,56,11,+8,+3,,,Resistance to Non-Magical,Resistance to Non-Magical,Resistance to Non-Magical,,,,,,Immune,Immune,Immune,,,18,16,15,12,13,14,+4,+3,+2,+1,+1,+2,"Darkvision,Ethereal",,
