Creature,,,Type,Race,Class,Subclass,Identity,Size,Movement,Darkvision,Weight,XP,Actions/Spells,Weapons,Grenades,Boss,Imunities,,Vulnerabilities,Family,Faction,Title
Olam,,,Humanoid,Human,,,Male,Medium,9.0m,,75.0kg,6,,,,FALSE,,,,,Harpers,
Spectator,,,Aberration,Beholder,,,,Medium,12.0m,5.0m,110.0kg,5,"Bite (Spectator),Confusion Ray,Fear Ray,Paralysing Ray,Unpetrification Ray,Wounding Ray (Spectator)",,,TRUE,"Maimed,Prone,Hideous Laughter",,,,,Predator of the Dark
Cloaker Phantasm,,,Aberration,Cloaker,,,,Tiny,16.0m,18.0m,1.0kg,8,"Fly (class action),Moan",,,FALSE,,,,,,
Strange Ox,,,Beast,Beast,,,,Large,9.0m,12.0m,600.0kg,3,"Ochre Sputum (acid),Alternate Form: Dire Wolf,Alternate Form: Minotaur,Alternate Form: Phase Spider,Alternate Form: Shadow Mastiff,Ochre Sputum (acid),Pseudopod",,,FALSE,,,,,,
Strange Ox (Act 2),,,Ooze,Ooze,,,,Medium,9.0m,6.0m,180.0kg,6,"Ochre Sputum (acid),Alternate Form: Dire Wolf,Alternate Form: Minotaur,Alternate Form: Phase Spider,Alternate Form: Shadow Mastiff,Ochre Sputum (acid),Pseudopod",,,FALSE,,,,,,
Strange Ox (Act 3),,,Ooze,Ooze,,,,Large,9.0m,9.0m,600.0kg,9,"Ochre Sputum (acid),Alternate Form: Dire Wolf,Alternate Form: Minotaur,Alternate Form: Phase Spider,Alternate Form: Shadow Mastiff,Ochre Sputum (acid),Pseudopod",,,FALSE,,,,,,
Illithid Arcanist,,,Aberration,Mind Flayer,,,,Medium,9.0m,8.0m,60.0kg,8,"Counterspell,Levitate (Illithid Power),Magic Missile,Mind Blast,Mind Flayer Domination,Shield,Tentacle Whip (Mind Flayer)",,,FALSE,,,,,,
Omeluum,,,Aberration,Mind Flayer,,,,Medium,9.0m,18.0m,60.0kg,75,"Blur,Dissonant Whispers,Hold Person,Levitate (Illithid Power),Mind Blast,Silence,Sleep,Teleport to Submersible",,,FALSE,,,,,Society of Brilliance,
Omeluum (Act Three),,,Aberration,Mind Flayer,,,,Medium,9.0m,18.0m,60.0kg,75,"Blur,Dissonant Whispers,Hold Person,Levitate (Illithid Power),Mind Blast,Silence,Sleep,Teleport to Submersible",,,FALSE,,,,,,
The Emperor,,,Aberration,Mind Flayer,,,,Medium,9.0m,12.0m,60.0kg,12,"Extract Brain,Levitate (Illithid Power),Mind Blast,Mind Flayer Domination,Shield of Thralls,Tentacle Whip (Mind Flayer),Evard's Black Tentacles,Sleep,Slow,Telekinesis,Karsus' Compulsion",,,FALSE,,,"Shredded Armour,Sleeping,Sluggardly",,,
Fist Marcus,,,Humanoid,"Aberration, Human (former)",,,Male,Medium,9.0m,,75.0kg,150,"Concussive Smash,Fly (class action),Main Hand Attack,Tenacity,Vampiric Shout",Greatclub +1,,TRUE,,,,,Cult of the Absolute,Agent of the Absolute
Intellect Devourer,,,Aberration,Aberration,,,,Small,9.0m,1.0m,20.0kg,1,"Claws (Intellect Devourer),Devour Intellect,Synaptic Discharge",,,FALSE,,,,,,
Intellect Glutton,,,Aberration,Aberration,,,,Small,9.0m,5.0m,20.0kg,5,,,,FALSE,,,,,,
Mind Flayer Tadpole,,,Aberration,Aberration,,,,Tiny,7.0m,7.0m,0.1kg,7,,,,FALSE,,,,,,
The Netherbrain,,,Aberration,Elder Brain,,,,Huge,0.0m,20.0m,"10,000.0kg",20,"Orb of Negation,Retributive Brainquake",,,TRUE,"Blinded,Colour Spray,Charmed,Dominated,Command: Flee,Fearful,Frightened,Phantasmal Killer,Frozen,Banished,Paralysed,Command: Halt,Polymorphed,Prone,Hideous Laughter,Sleeping,Stunned,Confused Stupor",,,,,
Spectral Flumph,,,Aberration,Aberration,,,,Tiny,1.0m,1.0m,0.0kg,1,,,,FALSE,,,,,,
Tentacle,,,Aberration,Aberration,,,,Medium,3.0m,3.0m,80.0kg,3,Grapple (Tentacle),,,FALSE,,,,,,
Us (Prologue),,,Aberration,Intellect Devourer,,,,Small,9.0m,12.0m,20.0kg,10,"Claws (Intellect Devourer),Claws (Us),Devour Intellect,Synaptic Discharge (Us),Claws (Intellect Devourer),Devour Intellect,Synaptic Discharge",,,FALSE,,,,,,
Us (Act Two),,,Aberration,Intellect Devourer,,,,Small,9.0m,4.0m,20.0kg,4,"Claws (Intellect Devourer),Claws (Us),Devour Intellect,Synaptic Discharge (Us),Claws (Intellect Devourer),Devour Intellect,Synaptic Discharge",,,FALSE,,,,,,
Us (Lobotomised),,,Aberration,Intellect Devourer,,,,Small,6.0m,4.0m,20.0kg,4,"Claws (Intellect Devourer),Claws (Us),Devour Intellect,Synaptic Discharge (Us),Claws (Intellect Devourer),Devour Intellect,Synaptic Discharge",,,FALSE,,,,,,
Acid Hallucination,,,Fiend,Fiend,,,,Small,9.0m,6.0m,15.0kg,0,Claws (Imp),,,FALSE,,,,,,
Grym,,,Construct,Adamantine Golem,,,,Large,11.0m,20.0m,"5,000.0kg",875,"Awaken,Quake,Seismic Wrath,Slam (Grym)",,,TRUE,"Bleeding,Burning,Charmed,Dominated,Chest Trauma,Dazed,Difficult Terrain,Frightened,Phantasmal Killer,Gaping Wounds,Knocked Out,Melting,Paralysed,Petrified,Poisoned,Nauseous,Stunned",,,,,Eternal Protector of the Forge
Agile Guardian,,,Undead,Skeleton,,,,Medium,12.0m,3.0m,20.0kg,10,Ranged Attack,Longbow,,FALSE,,,,,,
Air Elemental,,,Elemental,Elemental,,,,Tiny,9.0m,9.0m,0.0kg,9,"Gushing Air,Primordial Gales,Multiattack (Air Elemental),Elemental Warp,Fly (class action)",,,FALSE,,,,,,
Chult Alioramus,,,Beast,Alioramus,,,,Large,9.0m,10.0m,250.0kg,10,"Bite (Alioramus),Pounce (Alioramus)",,,FALSE,,,,,,
Chult Alioramus Colossa,,,Beast,Alioramus,,,,Large,9.0m,10.0m,250.0kg,10,"Bite (Alioramus),Exude Mating Pheromones,Pounce (Alioramus)",,,FALSE,,,,,,
Animated Armour,,,Construct,,,,,Medium,9.0m,,40.0kg,,"Main Hand Attack,Ranged Attack",,,FALSE,,,,,,
Apostate Defender,,,Undead,Skeleton,,,,Medium,9.0m,3.0m,18.0kg,3,"Flourish,Lacerate,Main Hand Attack",Scimitar,,FALSE,,,,,,
Apostate Destroyer,,,Undead,Skeleton,,,,Large,9.0m,7.0m,73.0kg,7,"Concussive Smash,Main Hand Attack,Tenacity",Greatclub +1,,FALSE,,,,,,
Apostate Librarian,,,Undead,Skeleton,,,,Medium,9.0m,3.0m,18.0kg,3,"Blindness,Main Hand Attack,Ray of Frost,Sleep,Topple",Quarterstaff,,FALSE,,,,,,
Apostate Sentinel,,,Undead,Skeleton,,,,Medium,9.0m,3.0m,18.0kg,3,"Piercing Shot,Ranged Attack",Light Crossbow,,FALSE,,,,,,
Arcane Turret,,,Construct,Construct,,,,Medium,0.0m,4.0m,50.0kg,40,,,,FALSE,,,,,,
Armoured Crab,,,Beast,Crab,,,,Tiny,9.0m,4.0m,5.0kg,4,Razor Claw,,,FALSE,,,,,,
Bernard,,,Construct,Automaton,,,,Medium,10.0m,18.0m,200.0kg,75,"Multiattack (Bernard),Static Overdrive, Main Hand Attack",Light of Creation,,TRUE,,,,Lenore De Hurst (creator),,Guardian of the Enchanted Tower
