,,Select 1,,,,Select 2,,,,,,,
Feat,Feature,Type,Text,,List,Type,Text,,List,Expertise,Armour Prof Requirements,Resource Type,Resource #
Ability Improvement,,Ability,Add Ability Score,1,"STR, DEX, CON, INT, WIS, CHA",Ability,Add Ability Score,1,"STR, DEX, CON, INT, WIS, CHA",,,,
Actor,Actor,,,,,,,,,"Deception, Performance",,,
Alert,Alert,,,,,,,,,,,,
Athlete,Athlete: Standing Up,Ability,Add Ability Score,1,"STR, DEX",,,,,,,,
Charger,Charger,,,,,,,,,,,,
Crossbow Expert,"Crossbow Expert: Point-Blank, Crossbow Expert: Wounding",,,,,,,,,,,,
Defensive Duellist,Defensive Duellist,,,,,,,,,,,,
Dual Wielder,"Dual Wielder, Dual Wielder: Bonus Armour Class",,,,,,,,,,,,
Dungeon Delver,"Dungeon Delver: Perception, Dungeon Delver: Resist Traps",,,,,,,,,,,,
Durable,Durable,,,,,,,,,,,,
Elemental Adept,,Feature,Choose Damage Resistance,1,"Elemental Adept: Acid, Elemental Adept: Cold, Elemental Adept: Lightning, Elemental Adept: Fire, Elemental Adept: Thunder",,,,,,,,
Great Weapon Master,"Great Weapon Master: Bonus Attack, Great Weapon Master: All In",,,,,,,,,,,,
Heavily Armoured,Heavily Armoured,,,,,,,,,,Medium,,
Heavy Armour Master,Heavy Armour Master,,,,,,,,,,Heavy,,
Lightly Armoured,Lightly Armoured,Ability,Add Ability Score,1,"STR, DEX",,,,,,,,
Lucky,Lucky,,,,,,,,,,,Luck Point,3
Mage Slayer,"Mage Slayer: Attack Caster, Mage Slayer: Break Concentration, Mage Slayer: Saving Throw Advantage",,,,,,,,,,,,
Magic Initiate: Bard,Magic Initiate: Bard,Cantrip,Choose Cantrips,2,"Blade Ward, Mage Hand, True Strike, Friends, Dancing Lights, Light, Minor Illusion, Vicious Mockery",Spell,Choose Spell,1,"Animal Friendship, Bane, Charm Person, Cure Wounds, Disguise Self, Dissonant Whispers, Faerie Fire, Feather Fall, Healing Word, Heroism, Longstrider, Sleep, Speak with Animals, Tasha's Hideous Laughter, Thunderwave",,,,
Magic Initiate: Cleric,Magic Initiate: Cleric,Cantrip,Choose Cantrips,2,"Blade Ward, Bursting Sinew, Guidance, Light, Produce Flame, Resistance, Sacred Flame, Thaumaturgy, Toll the Dead",Spell,Choose Spell,1,"Bane, Bless, Command, Create or Destroy Water, Cure Wounds, Guiding Bolt, Healing Word, Inflict Wounds, Protection from Evil and Good, Sanctuary, Shield of Faith",,,,
