Name,Image,Permanent Conditions,Skills,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Ability,Ability Bonus,Ability Max,Skills Proficiency,Armour Proficiency,Weapon Proficiency,Initiative,Reduce Damage Type,Reduce Damage,Darkvision,AC,AC Mod,Extra HP/Level,Actions,Spells,Cantrips,Immunity,Immune to Conditions,Movement,Expertise,Resistance,Temporary HP,Critical Chance,Attack Type,Weapon DMG,Weapon DMG Type,AR Types,AR Bonus,AR Factor,Spell Save DC,Unarmed DMG Bonus,Unarmed DMG Type,Carrying capacity,Illithid Power,Condition,Condition Duration,Condition DC,Condition Ability,ST Spell Bonus,ST Proficiency,Requirements,Jump Distance,Ignore,DONE,Desc 1,Desc 2
Aberration Hunter,,,,,,INT,,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,Is Githyanki,,FALSE,TRUE,Aberration Hunter is a passive feature that protects against aberration attacks. ,A githyanki wearing this amulet has  Advantage on Intelligence  Saving throws. Aberrations also have  Disadvantage on Attack rolls against them. 
Ability Drain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,"Ability Drain: Strength,Ability Drain: Dexterity",1 Turn,,,,,,,TRUE,FALSE,"Ability Drain is a passive feature and Illithid Power. Once per turn while attacking, this ability reduces the target's relevant Ability score by 1. ","Once per turn, when you make an Attack Roll, the attack reduces that target's corresponding Ability by 1. The reduced ability score cannot be decreased lower than 1. The ability that is reduced is the same as the one used to make the Attack Roll. For melee weapons, this is usually Strength, for ranged weapons usually Dexterity, and for spells usually your Spellcasting Ability. "
Ablaze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Flaming Sphere,,,DEX,,,,,TRUE,FALSE,Ablaze is a toggleable passive feature available to conjured Flaming Spheres. It allows the Flaming Sphere to deal AoE ⁠Fire damage and leave a trail of fire. ,"When the sphere is ablaze, it leaves behind a  Fire surface and deals 2d6⁠Fire to nearby creatures and objects. "
Absolute Night,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Blinded,2 Turns,11,DEX,,,,,TRUE,FALSE,Absolute Night is a passive feature that lets the weapon blind its targets. ,Blind targets that fail a  Dexterity saving throw. Deals an additional 2d6⁠Piercing to certain creatures that sport multiple sets of eyes. 
Absolute's Aegis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Absolute's Aegis is a passive feature that reduces damage if you are branded. ,"If the wielder bears the Absolute's Brand, all damage received from spells is reduced by 1. "
Absolute's Bane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Bane,2 Turns,11,CHA,,,,,TRUE,FALSE,Absolute's Bane is a passive feature that penalizes the user's targets with Bane for 2 turns when you hit them with a weapon attack (melee or ranged). ,"On a hit with a weapon attack, possibly inflict a   -1d4 penalty to the target's Attack rolls and  Saving throws. "
Absolute's Tempest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Absolute's Tempest is a passive feature that adds 1 extra damage to thunder spells and attacks. ,"If the wearer bears the Absolute's Brand, they deal 1 additional Thunder damage with Thunder damage spells and attacks. "
Absolute's Ward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Absolute's Ward is a passive feature that grants a bonus to your defenses if you are branded with the Absolute. ,"If the wielder bears the Absolute's Brand, they gain a +1 bonus to  Saving throws. "
Absolute's Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Absolute's Mercy is a passive feature that makes the wearer more likely to survive being unconscious. ,"If the wearer bears the Absolute's Brand, they have  Advantage on Death Saving Throws. "
Accursed Coins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,TRUE,FALSE,Accursed Coins is a passive feature unique to the toll collector's visages. ,This cursed visage controls part of the coins protecting the Toll Collector. 
