Name,,DMG1,DMG1 Type,DMG2,DMG2 Type,Area,,Duration,Conditions,Duration,Craftable,Description
Acid Vial,,2d6⁠⁠,Acid,,,Acid,2.0m,,,,FALSE,DC 13  Dexterity saving throw to negate damage
Alchemist's Fire,,,,,,Fire,3.0m,3 Turns,Burning,1 Turn,TRUE,
Caustic Bulb,,,,,,Caustic Brine,3.0m,,Caustic Brine,,FALSE,Sold by  Omeluum.
Flashblinder,,,,,,,6.0m,10 Turns,"Malfunctioning, Blinded",2 Turns,TRUE,DC 16  Constitution saving throw to negate Blindness. No save for  Malfunctioning vs Steel Watcher or Scrying Eye. Sold by  Bumpnagel.
Fungal Bamboozler,,2d4+1⁠⁠,Poison,,,Timmask Spores,2.0m,3 Turns,Befuddled,1 Turn,TRUE,Damage depends on successful ranged spell attack and applies to the target only.
Grease Bottle,,,,,,Grease,3.0m,,"Prone, Difficult Terrain",,FALSE,DC 12  Dexterity saving throw to negate Prone.
Haste Spore Grenade,,,,,,Haste Spores,2.0m,3 Turns,Haste Spores,1 Turn,TRUE,
Hearthlight Bomb,,,,,,Dancing Lights,9.0m,10 Turns,,,TRUE,
Holy Water,,3d6⁠⁠,Radiant,,,Water,2.0m,,,,FALSE,Damage dealt only to Fiends and Undead. DC 13  Dexterity saving throw to halve damage.
Noxious Spore Grenade,,2d4,Poison,1,Poison,Noxious Fumes,2.0m,3 Turns,Noxious Fumes,,TRUE,Initial damage depends on successful ranged spell attack and applies to the target only. DC 15  Constitution saving throw to halve the per turn damage to 2d4⁠⁠Poison.
Ochre Jelly Slime,,1d4,Fire,2,Fire,,1.0m,,Burning,5 Turns,FALSE,
Oil Flask,,,,,,Oil,3.0m,,,,FALSE,
Sanguine Explosive,,4d8,Force,4d8,Fire,,2.0m,,Burning,2 Turns,FALSE,DC 17  Dexterity saving throw to halve damage and negate Burning. Sold by  Araj Oblodra.
Smokepowder Bomb,,3d4,Force,9,Force,,4.0m,,,,FALSE,DC 12  Dexterity saving throw to halve damage
Spiked Bulb,,1,Piercing,,,,4.0m,,Bleeding,1 Turn,FALSE,Sold by  Omeluum.
Void Bulb,,1,Force,,,,6.0m,,,,FALSE,Pulls creatures caught 5 m / 17 ft towards the point of impact (DC 18  Strength saving throw to negate). Sold by  Omeluum.
Web Grenade,,,,,,Web,3.0m,10 Turns,,,TRUE,Sold by  Helsik.
Brilliant Retort,,3d4,Force,9,Force,,4.0m,,Silenced,2 Turns,FALSE,DC 12  Dexterity saving throw to halve damage and negate Silenced
Concussion Grenade,,5d10,Thunder,18,Thunder,,2.0m,,,,FALSE,DC 18  Dexterity saving throw to halve damage
Flammable Slime Bomb,,1d4,Fire,2,Fire,Fire,3.0m,2 Turns,Burning,5 Turns,FALSE,Identical to the  Ochre Jelly Slime
Hag's Bane,,,,,,,,,,,FALSE,Forces a hag that has consumed a child to disgorge it instantly.
Haste Spore Flask,,,,,,Haste Spores,3.0m,,Haste Spores,1 Turn,FALSE,
Iron Flask,,,,,,,,,,,FALSE,Releases a Spectator that is hostile to all nearby creatures (including the party).
Merregon Potion,,2d4,Poison,1,Poison,Timmask Spores,2.0m,3 Turns,Befuddled,1 Turn,FALSE,Damage depends on successful ranged spell attack and applies to the target only.
Orthon Explosive,,3d6,Fire,,,,4.0m,,Infernal Burning,3 Turns,FALSE,DC 13  Dexterity saving throw to halve damage and negate Infernal Burning.
Orthonic Handbomb,,4d8,Force,4d8,Fire,,2.0m,,Burning,2 Turns,FALSE,DC 17  Dexterity saving throw to halve damage and negate Burning.
Phase Optimizer,,,,,,,4.0m,,Phase Optimizer Active,2 Turns,FALSE,Condition is only granted to Steel Watchers.
Poisonous Slime Bomb,,1d4,Poison,1,Poison,Poison Cloud,3.0m,10 Turns,Poisoned,1 Turn,FALSE,DC 11  Constitution saving throw to avoid being Poisoned
Reflectoguard,,,,,,,2.0m,,Reflectoguard Active,2 Turns,FALSE,
Scrap and Shrapnel Grenade,,1,Piercing,,,,4.0m,,Bleeding,1 Turn,FALSE,Identical to  Spiked Bulb.
Surprise-Based Teddy Bear,,6d6,Fire,,,,4.0m,,,,FALSE,DC 15  Dexterity saving throw to halve damage.
Karabasan's Gift,,,,,,,2.0m,,Paralysed (Karabasan's Gift),,FALSE,Karabasan's Gift is a Grenade that can be thrown to possibly Paralyse creatures in a small area.
Volo's Jar of Moustache Wax,,,,,,Grease,3.0m,,"Prone, Difficult Terrain",,FALSE,DC 12  Dexterity saving throw to negate Prone. Identical to  Grease Bottle
Firewine Barrel,,5,,,,,6.0m,,,,FALSE,Deals 4d6⁠⁠Fire( Dexterity saving throw to halve).
Nautiloid Tank,,1,,,,,6.0m,,,,FALSE,Deals 6d6⁠⁠Fire( Dexterity saving throw to halve).
Oil Barrel,,5,,,,,6.0m,,,,FALSE,Deals 6d6⁠⁠Fire( Dexterity saving throw to halve).
Runepowder Barrel,,2500,,,,,18.0m,,,,FALSE,Deals 10d8+40⁠⁠Force( Dexterity saving throw to halve). Automatically Critically Hits objects and environments.
Runepowder Bomb,,2500,,,,,18.0m,,,,FALSE,Deals 10d8+40⁠⁠Force( Dexterity saving throw to halve). Automatically Critically Hits objects and environments.
Runepowder Vial,,50,,,,,8.0m,,,,FALSE,Deals 5d4+18⁠⁠Force( Dexterity saving throw to halve). Automatically Critically Hits objects and environments.
Smokepowder Barrel,,5,,,,,6.0m,,,,FALSE,Deals 4d4+18⁠⁠Force( Dexterity saving throw to halve). Automatically Critically Hits objects and environments.
Smokepowder Satchel,,90,,,,,4.0m,,,,FALSE,Deals 3d4+9⁠⁠Force( Dexterity saving throw to halve). Automatically Critically Hits objects and environments.
