Bonus,,Feature,Condition,Spell,Cantrip,Action,Illithid Power,Ability,Bonus,Description
Auntie Ethel's Hair (Strength),,Auntie Ethel's Boon (Strength),,,,,,,,Gain +1 to a Strength ability score. Can be raised above 20.
Auntie Ethel's Hair (Dexterity),,Auntie Ethel's Boon (Dexterity),,,,,,,,Gain +1 to a Dexterity ability score. Can be raised above 20.
Auntie Ethel's Hair (Constitution),,Auntie Ethel's Boon (Constitutionh),,,,,,,,Gain +1 to a Constitution ability score. Can be raised above 20.
Auntie Ethel's Hair (Intelligence),,Auntie Ethel's Boon (Intelligence),,,,,,,,Gain +1 to a Intelligence ability score. Can be raised above 20.
Auntie Ethel's Hair (Wisdom),,Auntie Ethel's Boon (Wisdom),,,,,,,,Gain +1 to a Wisdom ability score. Can be raised above 20.
Auntie Ethel's Hair (Charisma),,Auntie Ethel's Boon (Charisma),,,,,,,,Gain +1 to a Charisma ability score. Can be raised above 20.
Awakened,,Awakened,,,,,,,,Use all illithid powers as a bonus action.
BOOOAL's Benediction,,,BOOOAL's Blessing,,,,,,,Gain advantage on attack rolls against Bleeding targets.
Brand of the Absolute,,Brand of the Absolute,,,,,,,,Allows the benefits from Absolute equipment and unlocks unique dialogue options when speaking to followers of the Absolute.
Find Familiar: Scratch,,,,Find Familiar: Scratch,,,,,,"Gain the ability to summon Scratch as a familiar while outside of camp. While summoned, Scratch will be able to uncover buried treasure."
Find Familiar: Cheeky Quasit,,,,Find Familiar: Quasit,,,,,,"Summon Shovel (or Basket, or Fork), the Cheeky Quasit."
Loviatar's Love,,,Loviatar's Love,,,,,,,Gain a +2 bonus to attack rolls and Wisdom saving throws if having 30% Hit Points or less.
Necromancy of Thay,,Forbidden Knowledge,,Speak with Dead,,,,,,"Gain the passive feature Forbidden Knowledge, which grants a +1 to Wisdom saving throws and ability checks. The character with this bonus may also cast Speak with Dead once per long rest."
Paid the Price,,,Paid the Price,,,,,,,"Gain a +1 bonus to Intimidation checks, but also a disadvantage on Perception checks. Additionally, gain a disadvantage when attacking Hags. "
Survival Instinct,,,,,,,Survival Instinct,,,"Gain the additional illithid power Survival Instinct, which allows the user to infuse a creature with psionic force, healing them if they reach 0 hit points."
Volo's Ersatz Eye,,Volo's Ersatz Eye,,,,,,,,Gain a permanent See Invisibility effect. 
Arabella's Shadow Entangle,,,,Arabella's Shadow Entangle,,,,,,Gain the ability to entangle an Undead or Shadow Creature.
Bardic Inspiration,,,,,,Improved Bardic Inspiration (class action),,,,"Gain a charge of Bardic Inspiration that is stronger than usual (1d12). Usable once per long rest, and does not consume Bardic Inspiration charges."
Githzerai Mind Barrier,,,Githzerai Mind Barrier,,,,,,,Gain advantage on Intelligence saving throws.
Consumed Shadow Weave,,,,,,,,,,"Gale gains an additional level three spell slot, separate from normal spell slots. Recharges per long rest."
Potion of Everlasting Vigour,,,,,,,,STR,2,"Gain +2 Strength. Can be used to raise Strength above 20, and will remain after respeccing the character."
Slayer Form,,,,,,Slayer (class action),,,,Gain the ability to transform into the Slayer once per long rest.
Summon Us,,,,,Conjure Us,,,,,"Summon Us, an intellect devourer, as a familiar."
Anointed in Splendour,,,Anointed in Splendour,,,,,,,Gain +2 bonus to all Saving throw Saving throws.
Partial Ceremorphosis,,,,,,,,,,"Gain access to tier 3 illithid powers, and automatically unlock all tier 1 illithid powers and the tier 3 illithid power Fly."
Danse Macabre,,,,Danse Macabre,,,,,,"Create 4 ghouls that fight alongside you. Comes with a curse that lowers Constitution by 5, but can be removed with the Remove Curse spell while keeping Danse Macabre."
Monk's Hideous Laughter,,,,Tasha's Hideous Laughter,,,,,,Gain the ability to cast Tasha's Hideous Laughter once per long rest.
Mirror of Loss: Patriars Memory,,,,,,,,CHA,1,Gain +1 to Charisma.
Mirror of Loss (Strength),,,,,,,,STR,2,Gain +2 to Strength.
Mirror of Loss (Dexterity),,,,,,,,DEX,2,Gain +2 to Dexterity.
Mirror of Loss (Constitution),,,,,,,,CON,2,Gain +2 to Constitution.
Mirror of Loss (Intelligence),,,,,,,,INT,2,Gain +2 to Intelligence.
Mirror of Loss (Wisdom),,,,,,,,WIS,2,Gain +2 to Wisdom.
Mirror of Loss (Charisma),,,,,,,,CHA,2,Gain +2 to Charisma.
Slayer Knowledge,,Slayer Knowledge,,,,Piercing Growl,,,,"Regarding the Slayer - gain advantage against Slayer abilities. When playing as the Dark Urge with the Slayer form unlocked, it also grants the Piercing Growl skill."
Sweet Stone Features,,,Sweet Stone Features,,,,,,,Gain a +1d4 bonus to attack rolls and saving throws.
The Tharchiate Codex: Blessing,,The Tharchiate Codex: Blessing,,Danse Macabre,,,,,,Gain 20 temporary hit points after a Long Rest. Remains active if The Tharchiate Codex is also used to obtain Danse Macabre.
Unstable Blood,,Unstable Blood,,,,,,,,"The player character's blood is now highly flammable; if bleeding and creating a blood surface, it will explode on contact with fire."
