Subrace,,Race,,,Weapon Proficiencies,Armour Proficiencies,Skill Proficiencies,Select Skill Proficiencies,Features,Actions,Sellect Cantrip
Human,,Human,9.0m,0.0m,"Spears, Pikes, Glaives, Halberds","Light, Shields",,"Perception, Athletics, Acrobatics, Sleight of Hand, Stealth, Arcana, History, Investigation, Nature, Religion, Animal Handling, Insight, Medicine, Survival, Deception, Intimidation, Performance, Persuasion","Human Versatility, Opportunity Attack, Civil Militia",,
High Elf,,Elf,9.0m,9.0m,"Shortswords, Longswords, Shortbows, Longbows",,Perception,,"Fey Ancestry, Darkvision, Elven Weapon Training, Opportunity Attack",,"Acid Splash, Blade Ward, Bone Chill, Booming Blade, Bursting Sinew, Dancing Lights, Fire Bolt, Friends, Light, Mage Hand, Minor Illusion, Poison Spray, Ray of Frost, Shocking Grasp, Toll the Dead, True Strike"
Wood Elf,,Elf,10.5m,12.0m,"Shortswords, Longswords, Shortbows, Longbows",,"Perception, Stealth",,"Fey Ancestry, Darkvision, Elven Weapon Training,Opportunity Attack",,
Lolth-Sworn Drow,,Drow,9.0m,24.0m,"Rapiers, Shortswords, Hand Crossbows",,Perception,,"Fey Ancestry, Superior Darkvision, Drow Weapon Training, Opportunity Attack",,
Seldarine Drow,,Drow,9.0m,24.0m,"Rapiers, Shortswords, Hand Crossbows",,Perception,,"Fey Ancestry, Superior Darkvision, Drow Weapon Training,Opportunity Attack",,
High Half-Elf,,Half-Elf,9.0m,12.0m,"Pikes, Spears, Halberds, Glaives","Light, Shields",,,"Fey Ancestry, Darkvision, Civil Militia,Opportunity Attack",,"Acid Splash, Blade Ward, Bone Chill, Booming Blade, Bursting Sinew, Dancing Lights, Fire Bolt, Friends, Light, Mage Hand, Minor Illusion, Poison Spray, Ray of Frost, Shocking Grasp, Toll the Dead, True Strike"
Wood Half-Elf,,Half-Elf,10.5m,12.0m,"Pikes, Spears, Halberds, Glaives","Light, Shields",Stealth,,"Fey Ancestry, Darkvision, Civil Militia,Opportunity Attack",,
Drow Half-Elf,,Half-Elf,9.0m,12.0m,"Pikes, Spears, Halberds, Glaives","Light, Shields",,,"Fey Ancestry, Darkvision, Civil Militia,Opportunity Attack",,
Half-Orc,,Half-Orc,9.0m,12.0m,,,Intimidation,,"Darkvision, Savage Attacks, Relentless Endurance,Opportunity Attack",,
Lightfoot Halfling,,Halfling,7.5m,0.0m,,,,,"Halfling Luck, Brave, Naturally Stealthy,Opportunity Attack",,
Strongheart Halfling,,Halfling,7.5m,0.0m,,,,,"Halfling Luck, Brave, Strongheart Resilience,Opportunity Attack",,
Gold Dwarf,,Dwarf,7.5m,12.0m,"Battleaxes, Handaxes, Light Hammers, Warhammers",,,,"Dwarven Resilience, Darkvision, Dwarven Toughness, Dwarven Combat Training,Opportunity Attack",,
Shield Dwarf,,Dwarf,7.5m,12.0m,"Battleaxes, Handaxes, Light Hammers, Warhammers","Light, Medium",,,"Dwarven Resilience, Darkvision, Dwarven Combat Training, Dwarven Armour Training,Opportunity Attack",,
Duergar,,Dwarf,7.5m,12.0m,"Battleaxes, Handaxes, Light Hammers, Warhammers",,,,"Dwarven Resilience, Duergar Resilience, Superior Darkvision, Dwarven Combat Training, Sunlight Sensitivity,Opportunity Attack",,
Forest Gnome,,Gnome,7.5m,12.0m,,,,,"Gnome Cunning, Darkvision,Opportunity Attack",,
Deep Gnome,,Gnome,7.5m,12.0m,,,,,"Gnome Cunning, Superior Darkvision, Stone Camouflage,Opportunity Attack",,
Rock Gnome,,Gnome,7.5m,12.0m,,,History,,"Artificer's Lore, Gnome Cunning, Darkvision,Opportunity Attack",,
Asmodeus Tiefling,,Tiefling,9.0m,12.0m,,,,,"Hellish Resistance, Darkvision,Opportunity Attack",,
Mephistopheles Tiefling,,Tiefling,9.0m,12.0m,,,,,"Hellish Resistance, Darkvision, Opportunity Attack",,
Zariel Tiefling,,Tiefling,9.0m,12.0m,,,,,"Hellish Resistance, Darkvision,Opportunity Attack",,
Githyanki,,Githyanki,9.0m,0.0m,"Shortswords, Longswords, Greatswords","Light, Medium",,,"Martial Prodigy,Opportunity Attack",Astral Knowledge,
Black Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Poison),Opportunity Attack",Acid Breath,
Blue Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Lightning),Opportunity Attack",Lightning Breath,
Brass Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Fire),Opportunity Attack",Fire Breath (Line),
Bronze Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Lightning),Opportunity Attack",Lightning Breath,
Copper Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Poison),Opportunity Attack",Acid Breath,
Gold Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Fire),Opportunity Attack",Fire Breath (Line),
Green Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Poison),Opportunity Attack",Acid Breath,
Red Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Fire),Opportunity Attack",Fire Breath (Line),
Silver Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Cold),Opportunity Attack",Frost Breath,
White Dragonborn,,Dragonborn,9.0m,0.0m,,,,,"Draconic Ancestry (Cold),Opportunity Attack",Frost Breath,
