 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"L
V
L",,"L
V
L",,,,,,,,,,HEALING,DAMAGE,,,,,ADDITIONAL,SAVE,,,,,,,,,,,,,,,,:)
,,,,SPELL NAME LABEL,,SPELL NAME,,SCHL,,,,,DAMAGE,TAGS,,,CONDITION,D,TYPE,1/2,,,,,,,,,,,,,,,,
,,,,,,,,FILTERS CAN BE CREATED BY GOING TO DATA > FILTER VIEWS > CREATE NEW TEMPORARY FILTER. SET THE DATA RANGE TO F5:AK229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
",0,FALSE,0,ACID SPLASH,Acid Splash,ACID SPLASH,,CONJ,,,,,1D6 /2D6 / 3D6,ACID,18m,2m,,,,FALSE,DEX,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",0,FALSE,0,BLADE WARD,Blade Ward,BLADE WARD,,ABJU,,,,,,,Self,,,2,RESISTANCE,FALSE,,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",0,FALSE,0,BONE CHILL,Bone Chill,BONE CHILL,,NECR,,,,,1D8 / 2D8 / 3D8,NECROTIC,18m,,BONE CHILLED,1,,FALSE,,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,
"
",0,FALSE,0,BOOMING BLADE,Booming Blade,BOOMING BLADE,,EVOC,,,,,"1D8 / 2D8 / 3D8  
ON MOVE",THUNDER,"Weapon
Range",,BOOMING BLADE,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",0,FALSE,0,BURSTING SINEW,Bursting Sinew,BURSTING SINEW,,NECR,,,,,1D10 / 2D10 / 3D10,PIERCING,18m,3m,,,,FALSE,DEX,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,,
"
",0,FALSE,0,DANCING LIGHTS,Dancing Lights,DANCING LIGHTS,,EVOC,,,,,,,18m,,,,,FALSE,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",0,FALSE,0,ELDRITCH BLAST,Eldritch Blast,ELDRITCH BLAST,,EVOC,,,,,1D10 / 2D10 / 3D10,FORCE,18m,,,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
"
",0,FALSE,0,FIRE BOLT,Fire Bolt,FIRE BOLT,,EVOC,,,,,1D8 / 2D8 / 3D8,FIRE,18m,,,,,FALSE,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,
"
",0,FALSE,0,FRIENDS,Friends,FRIENDS,,ENCH,,,,,,,9m,,FRIENDS,10,,FALSE,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
"
",0,FALSE,0,GUIDANCE,Guidance,GUIDANCE,,DIVI,,,,,,,1.5m,,GUIDANCE,10,SKILLS,FALSE,,,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
"
",0,FALSE,0,LIGHT,Light,LIGHT,,EVOC,,,,,,,1.5m,,,LR,,FALSE,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,
"
",0,FALSE,0,MAGE HAND,Mage Hand,MAGE HAND,,CONJ,,,,,,,18m,,,,,FALSE,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,,
