Name,Image,Location,Attack Type,Type,Rarity,Weight,Cost,Range,Hold Type,Finesse,Light,Thrown,Ench.,DMG Type 1,DMG1 1H,DMG1 2H,DMG Type 2,DMG2,DMG Type 3,DMG3,Spell,Level,Recharge,Weapon Action,Action,Recharge,Features,Off-hand Only Feature,Off-hand Action,Resistance,AC Bonus,Act,Usable,DONE,,,Melee,Ranged
Cemetery-Blue Torch,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,Fire,1d4,,,,,,,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,A Torch can be used as a Light Source and doubles as improvised weapon of the Clubs family. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Can ignite flammable surfaces or clouds if it makes proper contact.,,Cemetery-Blue Torch,Light Crossbow
Club,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Club is a mundane, nonmagical variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It is a light weapon that anyone can dual-wield without special training. It is more or less a temporary weapon considering other simple weapons like Mace are superior to it in damage.",,Club,Light Crossbow +1
Cultist Brand,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,Cultist Brand is a common variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.,,Cultist Brand,Sharran Crossbow
Drunk-Purple Torch,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,Fire,1d4,,,,,,,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,A Torch can be used as a Light Source and doubles as improvised weapon of the Clubs family. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Can ignite flammable surfaces or clouds if it makes proper contact.,,Drunk-Purple Torch,Goblin Bow
Lantern,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,Fire,1d4,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,A Lantern can be used as a Light Source and doubles as improvised weapon of the Clubs family. It is a simple melee weapon wielded in one hand. It's a works exactly like a Torch in utility and combat functions.,,Lantern,Makeshift Bow
Plague-Green Torch,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,Fire,1d4,,,,,,,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,A Plague-Green Torch can be used as a Light Source and doubles as improvised weapon of the Clubs family. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. Can ignite flammable surfaces or clouds if it makes proper contact.,,Plague-Green Torch,Shortbow
Torch,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,Fire,1d4,,,,,,,Main Hand Attack,,,,Off-Hand Attack (Melee),,,1,TRUE,TRUE,"A Torch can be used as a Light Source or as an improvised Club. It can be wielded as a simple melee weapon in one hand. When lit, the torch is a light weapon that anyone can dual-wield without special training. Torches can also be used to ignite flammable surfaces or to create smoke.",,Torch,Bow of Awareness
Twisting Branch,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,Twisting Branch is a common variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.,,Twisting Branch,Hunting Shortbow
Whipping Cane,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Whipping Cane is a mundane, nonmagical variant of the Clubs family of weapons. It is a simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training. It has the same stats as a Club, making it a relatively useless weapon.",,Whipping Cane,Shortbow +1
Broken Club,,,Melee,Clubs,Common,0.9kg,10,1.5m,One-Handed,FALSE,TRUE,FALSE,,Bludgeoning,1d4,1d4,,,,,,,,Concussive Smash,Main Hand Attack,,,,Off-Hand Attack (Melee),,,,TRUE,TRUE,"Broken Club is a mundane, nonmagical variant of the Clubs family of weapons. It is a Simple melee weapon wielded in one hand. It's a light weapon that anyone can dual-wield without special training.",,Broken Club,Bow of the Banshee
