Name,Image,Location,Type,Rarity,Armour Type,Weight,Cost,AC,AC Mod,AC Bonus,No Crit,Resistances,Vulnerability,Skill,Skill Bonus,Skill Factor,ST Ability,ST Bonus,ST Factor,Spells,Level,Recharge,Features,Ability,Ability Bonus,Max Ability,AR Types,AR Bonus,AR Factor,Movement,Conditions,Act,Description,,Armour,Armour|Clothing,Headwear,Footwear,Cloak,Ring,Amulet,Shield,Handwear
Bandit's Armour,,,Armour,Common,Light,4.5kg,40,11,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Bandit's Armour is a common Light Armour. It is not normally obtainable in most circumstances,,Bandit's Armour,Bandit's Armour,Devilfoil Mask,Appreciably-Cared-For Boots,Cape of the Red Prince,Bracing Band,Aberration Hunters' Amulet,Broken Shield,Drow Leather Gloves
Broken Padded Armour,,,Armour,Common,Light,3.6kg,30,11,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Broken Padded Armour is a common Light Armour.,,Broken Padded Armour,Broken Padded Armour,Whispering Mask,Cleverly Cobbled Boots,Cloak,Callous Glow Ring,Absolute Confidence Amulet,Fossilised Shell,Druidic Bracers
Druid Leather Armour,,,Armour,Common,Light,4.5kg,40,11,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Druid Leather Armour is a common Light Armour.,,Druid Leather Armour,Druid Leather Armour,Browbeaten Circlet,Drow Leather Boots,Cindermoth Cloak,Caustic Band,Absolute's Talisman,Iron-Banded Shield,Gloves (Equipment)
Faded Drow Leather Armour,,,Armour,Common,Light,5.9kg,130,12,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Faded Drow Leather Armour is a common Light Armour.,,Faded Drow Leather Armour,Faded Drow Leather Armour,Cap of Curing,Firm-Soled Boots,Cloak of Cunning Brume,Coruscation Ring,Amulet of Elemental Torment,Metal Shield,Gloves (Equipment)
Leather Armour,,,Armour,Common,Light,4.5kg,40,11,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Leather Armour is a common Light Armour. It is the starter Armour for Rangers.,,Leather Armour,Leather Armour,Coldbrim Hat,Grovetender Boots,Cloak of Elemental Absorption,Crusher's Ring,Amulet of Misty Step,Organic Shield,Leather Bracers
Padded Armour,,,Armour,Common,Light,3.6kg,30,11,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Padded Armour is a common Light Armour. It is the starter armour for Warlocks.,,Padded Armour,Padded Armour,Hat of Fire Acuity,Hardily Constructed Boots,Cloak of Protection,Djinni Ring,Amulet of Selûne's Chosen,Rusty Studded Shield,Leather Gloves
Selûnite Robe,,,Armour,Common,Light,4.5kg,40,11,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Selunite Robe is a common Light Armour.,,Selûnite Robe,Selûnite Robe,Hat of Storm Scion's Power,Heavy Boots,Fleshmelter Cloak,Eversight Ring,Amulet of Silvanus,Scrapwood Shield,Nettie's Gloves
Simple Jerkin,,,Armour,Common,Light,4.5kg,40,11,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Simple Jerkin is a common Light Armour.,,Simple Jerkin,Simple Jerkin,Key of the Ancients,Humbly Cobbled Shoes,Reverse Rain Cloak,Explorer's Ring,Amulet of the Unworthy,Shield,Braindrain Gloves
Studded Leather Armour,,,Armour,Common,Light,5.9kg,100,12,DEX,,FALSE,,,,,,,,,,,,,,,,,,,,,,Studded Leather Armour is a common Light Armour.,,Studded Leather Armour,Studded Leather Armour,Marksmanship Hat,Jaheira’s Boots,Thunderskin Cloak,Family Ring,Beastmaster's Chain,Spiked Shield,Dark Justiciar Gauntlets (Uncommon)
Blazer of Benevolence,,,Armour,Uncommon,Light,4.5kg,160,11,DEX,,FALSE,,,,,,,,,,,,Remedial Rhymes,,,,,,,,,1,The Blazer of Benevolence is an uncommon Light Armour that grants the wearer Temporary Hit Points when they inspire an ally with Bardic Inspiration.,,Blazer of Benevolence,Blazer of Benevolence,The Lifebringer,Karlach's Boots,Vivacious Cloak,Firzu's Ring of Trading,Broodmother's Revenge,Studded Shield,Fleetfingers
