id,name,wikiUrl,imageRemote,imageLocal,effect,prerequisite,category
adrenaline-warboots,Adrenaline Warboots,https://roguetrader.wiki.fextralife.com/Adrenaline+Warboots,/file/Rogue-Trader/adrenaline_warboots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/adrenaline_warboots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,The wearer gains +(wearer's PER bonus x 2)% dodge against enemies under the effect of Expose Weakness.,,boots
astral-currents,Astral Currents,https://roguetrader.wiki.fextralife.com/Astral+Currents,,,"The wearer gains +20 MP in the first round of combat. Their movement cost is not reduced by threatening areas.
Also, the wearer's movement does not trigger attacks of opportunity during this round.",,boots
battle-psyker-boots,Battle-Psyker Boots,https://roguetrader.wiki.fextralife.com/Battle-Psyker+Boots,/file/Rogue-Trader/battle-psyker_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/battle-psyker_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,The wearer gains PER bonus% dodge until the start of their next turn for each enemy affected by their psy-power or psyker staff attack. Stacks.,,boots
blitz-boots,Blitz Boots,https://roguetrader.wiki.fextralife.com/Blitz+Boots,/file/Rogue-Trader/blitz_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/blitz_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,The wearer gains a +4 bonus to damage against enemies who have no adjacent allies. The range of the wearer's Dash and Charge abilities is increased by +1 cell.,,boots
boots-of-victory,Boots of Victory,https://roguetrader.wiki.fextralife.com/Boots+of+Victory,/file/Rogue-Trader/__image__,,"Whenever the wearer performs a heroic act, they recover all their wounds and gain +2 AP this turn.",,boots
breezecatcher-boots,Breezecatcher Boots,https://roguetrader.wiki.fextralife.com/Breezecatcher+Boots,/file/Rogue-Trader/breezecatcher_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/breezecatcher_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"Whenever the wearer moves through a cell occupied by an enemy, the wearer gains +15% dodge against that enemy's attacks until the wearer's next turn.",,boots
bruiser-boots,Bruiser Boots,https://roguetrader.wiki.fextralife.com/Bruiser+Boots,/file/Rogue-Trader/brusier_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/brusier_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"Whenever the wearer performs an area attack, they instantly provoke attacks of opportunity from all adjacent enemies.
The wearer gains +TGH bonus temporary wounds for each attack of opportunity provoked by an area attack.",,boots
cursed-boots,Cursed Boots,https://roguetrader.wiki.fextralife.com/Cursed+Boots,/file/Rogue-Trader/cursed_boots_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/cursed_boots_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"Whenever the wearer ends their turn, they deal 1 warp damage to each adjacent creature and to the wearer themselves.
The wearer also deals an additional +Conviction - Heretical rank warp damage to enemies.",,boots
death-world-warboots,Death World Warboots,https://roguetrader.wiki.fextralife.com/Death+World+Warboots,/file/Rogue-Trader/death_world_warboots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/death_world_warboots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,These boots grant their wearer a +15% dodge reduction bonus for attacks with melee weapons.,,boots
disciple-s-boots,Disciple's Boots,https://roguetrader.wiki.fextralife.com/Disciple's+Boots,/file/Rogue-Trader/disciples_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/disciples_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,The wearer gains + (wearer's PER bonus x2)% dodge against enemies under the effect of Expose Weakness.,,boots
dynamo-boots,Dynamo Boots,https://roguetrader.wiki.fextralife.com/Dynamo+Boots,/file/Rogue-Trader/dynamo_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/dynamo_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,Increase the wearers' movement points by +3.,,boots
enforcer-corrupted-boots,Enforcer Corrupted Boots,https://roguetrader.wiki.fextralife.com/Enforcer+Corrupted+Boots,/file/Rogue-Trader/enforcer_corrupted_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/enforcer_corrupted_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"Requires Heretical--Votary
The wearer is always slowed but immune to the immobilised effect.
Targets hit by the wearer's melee attacks fall prone for 1 turn if they fail a Toughness resistance test with a -(5 x Heretical rank) penalty. If passed, the target becomes slowed for 1 turn instead.",Heretical - Votary,boots
ergo-boots,Ergo Boots,https://roguetrader.wiki.fextralife.com/Ergo+Boots,/file/Rogue-Trader/ergo_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/ergo_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,Increase the wearer's Agility by +5 and Athetics by +10.,,boots
expeditionary-footwear,Expeditionary Footwear,https://roguetrader.wiki.fextralife.com/Expeditionary+Footwear,/file/Rogue-Trader/expeditionary_footwear_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/expeditionary_footwear_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"Whenever the wearer uses a Navigator power, the again +15% dodge until the end of the round. Stacks.",,boots
hungering-mind,Hungering Mind,https://roguetrader.wiki.fextralife.com/Hungering+Mind,/file/Rogue-Trader/hungering_mind_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/hungering_mind_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,The power of burning effects inflicted by the wearer is increased by +1 for each enemy affected by the wearer's area attacks until the end of combat. This bonus stacks.,,boots
intendant-boots,Intendant Boots,https://roguetrader.wiki.fextralife.com/Intendant+Boots,/file/Rogue-Trader/intendant_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/intendant_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"Whenever the wearer uses a consumable item, they gain +2 MP and +20% dodge until the start of their next turn.",,boots
lightweight-boots,Lightweight Boots,https://roguetrader.wiki.fextralife.com/Lightweight+Boots,/file/Rogue-Trader/lightwight_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/lightwight_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,The wearer of these boots gains +STR bonus % parry while wearing a light amour.,,boots
pneumo-boots,Pneumo Boots,https://roguetrader.wiki.fextralife.com/Pneumo+Boots,/file/Rogue-Trader/pneumo_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/pneumo_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,Using the Charge ability costs -1 AP less.,,boots
psyker-s-footwear,Psyker's Footwear,https://roguetrader.wiki.fextralife.com/Psyker's+Footwear,/file/Rogue-Trader/psykers_footwear_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/psykers_footwear_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,These boots grant their wearer +3% dodge until the end of combat for each psy power they use. Stacks.,,boots
pyromanic-boots,Pyromanic Boots,https://roguetrader.wiki.fextralife.com/Pyromanic+Boots,/file/Rogue-Trader/pyromaniac_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/pyromaniac_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"The wearer can't suffer the burning effect by walking over the burning cells.
The wearer inflicts +3 additional stacks of burning whenever they stand on burning cells.",,boots
recoil-warboots,Recoil Warboots,https://roguetrader.wiki.fextralife.com/Recoil+Warboots,/file/Rogue-Trader/recoil_warboots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/recoil_warboots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"Whenever the wearer attacks an enemy behind cover with a ranged attack, cover efficiency is decreased by -40% for that attack.
-15 recoil",,boots
rallying-boots,Rallying Boots,https://roguetrader.wiki.fextralife.com/Rallying+Boots,/file/Rogue-Trader/rallying_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/rallying_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"After the wearer uses Following!, the wearer's allies gain a +33% bonus to damage on their next attack for each ally within a 2-cell radius from the wearer.",,boots
sharpshooter-boots,Sharpshooter Boots,https://roguetrader.wiki.fextralife.com/Sharpshooter+Boots,/file/Rogue-Trader/sharpshooter_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/sharpshooter_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"Whenever the wearer performs a single-shot ranged attack from any cover, this attack gains +(Awareness)/4) armour penetration.",,boots
spiked-boots,Spiked Boots,https://roguetrader.wiki.fextralife.com/Spiked+Boots,/file/Rogue-Trader/spiked_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/spiked_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"At the start of the combat, the wearer inflicts bleeding (5) on themselves. Whenever the wearer performs an area melee attack, they inflict bleeding (3) on all hit creatures.
This area melee attack also deals +(5 x wearer's bleeding level)(% additional damage.",,boots
sororitas-boots,Sororitas Boots,https://roguetrader.wiki.fextralife.com/Sororitas+Boots,/file/Rogue-Trader/sororitas_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/sororitas_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,The wearer raises momentum to 175 whenever they kill 5 enemies in a row in one turn.,,boots
stalking-boots,Stalking Boots,https://roguetrader.wiki.fextralife.com/Stalking+Boots,,,"If the wearer has melee weapons equipped in both hands, their Slash ability makes an additional melee attack with the secondary weapon.",,boots
stalwart-boots,Stalwart Boots,https://roguetrader.wiki.fextralife.com/Stalwart+Boots,/file/Rogue-Trader/stalwart_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/stalwart_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,The wearer and adjacent allies cannot fall prone and become immune to forced movement effects.,,boots
unyielding-vanguard-boots,Unyielding Vanguard Boots,https://roguetrader.wiki.fextralife.com/Unyielding+Vanguard+Boots,/file/Rogue-Trader/unyielding_vaguard_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/unyielding_vaguard_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,All allies in a 2-cell radius around the wearer gain a +40% bonus to resolve from the Unyielding Beacon ability instead of the original bonus.,,boots
warmonger-boots,Warmonger Boots,https://roguetrader.wiki.fextralife.com/Warmonger+Boots,/file/Rogue-Trader/warmonger_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,boots-images/warmonger_boots_leg_armor_warhammer_40k_rogue_trader_wiki_guide_128px.png,"Whenever the wearer kills 2 or more enemies with a single attack, the attack doesn't spend all of the wearer's MP.",,boots
acrobat-s-greaves,Acrobat's Greaves,https://roguetrader.wiki.fextralife.com/Acrobat's+Greaves,,,"At the start of combat, the wearer gains stacks of acrobatic trick equal to their MP. These stacks can be used until the end of combat.",,boots
arch-militant-s-boots,Arch-Militant's Boots,https://roguetrader.wiki.fextralife.com/Arch-Militant's+Boots,,,"Whenever the wearer performs a melee attack after a ranged attack, the target of the melee attack should pass a Toughness resistance test with a -15 penalty or get knocked prone.",,boots
