Abilities,
Warrior,"Endure: Until the warriors next turn, they gain (TGH \2) Deflection and (10 + level \ 6) temporary Wounds"
Reckless Strike,"The warrior's next melee attack agains +(5 x STR)% armour penetration and (2x Strength) damage and ignores (3x WS)% of the target's parry. Every enemy who survives an attack enhanced by this ability will attawck the warrior in return, including creatures with ranged weapons."
Sworn Enemy,"The Warrior marks a target, gaining +(10 + 2 x TGH bonus)% armour and +(2 + STR bonus) damage on melee attacks against that target.
 If the target attacks the Warrior during this round, the Warrior gains +1 AP (once per round)."
Break Through,"The Warrior gains the Slash ability with (AGI bonus / 2) charges for this round.
 Slash cannot be used in the same round as Charge.
 Slash (0 AP):
 The Warrior dashes through an enemy to the cell on the enemy's opposite side and makes a melee attack with -50% reduced damage.
 - Can be applied only once for one target per round.
 - Does not provoke an attack of opportunity."
Forceful Strike,The Warrior gathers all their strength for a crushing strike. Their next melee attack pushes the enemy away. The distance of that push is equal to (1 + Strength bonus / 2) cells.
Taunting Scream,The Warrior screams at their enemies to draw their attention and becomes a priority target of any enemy who fails a Willpower resistance test.
Officer,"Voice of Command: The Officer forces an ally to fully push themselves, increasing their characteristics by +(5 + 2 x Officer's FEL bonus) for 1 round. Additionally, all of the Officer's abilities can be applied to the target of Voice of Command from any distance. A character who becomes the target of Voice of Command cannot be targeted by this ability again for the next 2 rounds."
Air of Authority,"The Officer increases an ally's Resolve by a Resolve until the end of combat.
 If the target is under the effect of Voice of Command, they will start their next turn with 1 additional action point."
Get back in the fight!,"The Officer encourages a target ally to immediately recover from burning, bleeding, toxin and stun effects.
 If the target is under Voice of Command effect, it gains +2×(Officer's WP bonus) temporary Wounds."
Break Their Ranks!,"This ability can only target allies who have enemies adjacent to them.
 Until the start of the Officer's next turn all melee attacks made by the target deal additional damage equal to (Officer's FEL bonus/ 2) multiplied by the number of enemies adjacent to the target when this ability is used.
 If the target is under the effect of Voice of Command, they immediately make an attack of opportunity against an adjacent enemy, targeting the one with the lowest remaining wounds."
"Move, Move, Move!","The Officer immediately grants an ally additional Movement points equal to FEL bonus.
 If the target is under the effect of Voice of Command, it ignores attacks of opportunity until the end of the Officer's turn."
