,,,,,,,,,,,,,,
,Resource,People,Provisions,Chemicals,Plasteel,Mechanisms,Promethium,Weapons,Xenotech,Adamantine,Flogiston,,Extractum Resources,Event Resources
,System,,,,,,,,,,,,Low,Low
,Adermatt II,,,,2,,7,,,2,,,Medium,Medium
,Agathus Archides,,3,,,,,,,,,,High,High
,Aviorus,,5,,,,,,,2,,,,
,Cradle of Khepri,,,,,,5,,4,,,,,
,Cranach,,,,3,,,,,,3,,,
,Emperors's Palm,,,,"""1 / 2""",,,,,,,,,
,Forgotten Twins,,,,2,,,,,,,,,
,Frozen Prince,,,,"""2 / 2""",,5,,,,,,,
,Furibundus,,,,,,,,,,,,,
,Hundred Dreams Crossroads,,,,"""3 / 7""",,,,,,,,,
,Langrenn's Belt,,5,,6,,,,,,,,,
,Lapidus Mortus,,,,"""8 / 2""",,,,3,2,,,,
,Last Chance of Cyrene,,,,,,4,,,,,,,
,Latotian's Passage,,,,,,,,,2,,,,
,Litoribum Maledicta,,2,,"""7 / 2""",,,,,,,,,
,Mortus Acies,,,,,,,,,,,,,
,Mu-Rho 79,,,,5,,,,,,,,,
,Mundus Nullius,,,,2,,,,,,,,,
,Mundus Valancius,,,,,,,,,,4,,,
,Nameless Star,,,,2,,,,,2,,,,
,Narmer IV,,1,,5,,,,,,4,,,
,Nolla Septum,,,,,,7,,,2,,,,
,Odaenathus XI,,,,"""2 / 2""",,,,,,,,,
,Omicron,,,,2,,,,,,,,,
,Orsellio Prophecy,,,,,,5,,,,2,,,
,Palatium Stellos,,,,2,,,,2,,,,,
,Pelium Solitas,,,,,,,,,,,,,
,Pillars of Virdice,,,,"""7 / 3""",,,,,,,,,
,Porta Septentum,,,,2,,,,,,,,,
,Pulvis Platinum,,,,4,,,,,,,,,
,Silence Of Mer-Segrit,,,,2,,4,,,,5,,,
,Sotto's Tomb,,,,5,,,,,,,,,
,System Speculo,,,,,,,,3,2,,,,
,Telikos Epsilon,,,,3,,,,,,,,,
,Tenebris Aquae,,,,2,,,,,,,,,
,Trinnitos,1,,,7,,,,,,,,,
,Atlas Reach,,,,5,,,,,4,,,,
,Last Chance of Cyrene,,,,,,4,,,,,,,
,Neos Charoitus,,,,,,,,,3,4,,,
,Silbannacos,,,,,,,,4,,,,,
,Lavella's Heart,,,,,,3,,,,,,,
,,,,,,,,,,,,,,
,,Space Combat Route,,,,Upgrades,,,,,,,,
,Pre Space,1 mu-rho 79 navy vs pirate to gain fighters (Navy Rep),,,,"1, torpedo control by default 2, warp wave, new heading",,,,,,,,
,Dargonus (For Escort),Pillars of veridace - heriokhs rim station buy,,,,"3, shallow jump, focused effort 4, strafe, all hands on deck",,,,,,,,
,10500 Navy Rep,2 sotto's tomb,,,,"5, shield pulse, silent running",,,,,,,,
,,3 orsello,,,,,,,,,,,,
,,4 langrenn's belt,,,,,Blast fairly effective shield type vs All,,,,,,,
,DLC2 Heartless Encounter,5 trinnitos,,,,,Kinetic Especially Potent at defending vs Drukhari,,,,,,,
,Possible after 4,6 kiava gamma,,,,,,,,,,,,
,Can provide Second Escort,7 hundred dream *crossroads use torpedo ultimate*,,,,,"Flak ammo upgrade ignores dodge, very useful vs Drukhari",,,,,,,
,,8 latotian's passage,,,,,Stygian-Pattern Dual-Module Macro-Battery very effective for double firing in act 2,,,,,,,
,,8.5 Mer-Sargit Event to save the merchant,,,,,Fighters are incredibly potent at blocking enemy movement and destroying ships,,,,,,,
,,9 mortus acies,,,,,,,,,,,,
,,10 system speculo,,,,,,,,,,,,
,,11 tenebrous aque,,,,,,,,,,,,
,,12 Porta Septentum,,,,,,,,,,,,
,DLC1 after 13,13 Narmer IV,,,,,,,,,,,,
,,14 Odaenathus XI,,,,,,,,,,,,
,,15 Pillars of veridace - heriokhs rim station,,,,,,,,,,,,
