,,,,
,This sheet is designed to have useful things like community builds for rogue traders and companions. There is also a list of talents and abilities found in game,,,
,We have a list of item drops in game towards the back of the sheet so you can look where to find specific items. This still needs to be updated for DLC 2 and 1.5,,,
,A page dedicated to showing space resources and a route for space combat,,,
,This sheet is currently up to date for patch 1.5 and the DLCs. They may be sections that still are work in progress,,,
,"Builds are focused on early game for playing 1-55 without respec. If you used respec the builds would not only be stronger but entirely different. The early levels are designed for various bosses. So 15 the build needs to fight Aurora. By 18-21 the Forgefiend. by 30 the Fabricator Delphim, by 40 yremeryss and by 50 Uralon & Daybreak",,,
,This video will explain itemisation for companions https://youtu.be/oUydwNOMrho ,,,
,Skill options,(You can pick two skills per member to min-max):,,
,Athletics (Str),"Abelard, Heinrix, Ulfar, Marazhai, Kibellah",,
,Awareness (Per),"Cassia, Pasqal, Idira, Yrliet, Argenta, Solomorne",,
,Carouse (Tgh),"Abelard, Heinrix, Ulfar, Marazhai, Kibellah",,
,Coercion (Fel),"Cassia, Jae, Solomorne",,
,Commerce (Fel),"Cassia, Jae",,
,Persuasion (Fel),"Cassia, Jae",,
,Demolition (Agi),"Argenta, Ulfar, Kibellah, Yrliet, Marazhai, Solomorne",,
,Logic (Int),"Pasqal, Idira, Yrliet, Jae",,
,Lore Imperium (Int),"Argenta, Idira, Jae, Yrliet",,
,Lore Warp (Int),"Idira, Heinrix, Cassia* (cassia navigator checks)",,
,Lore Xenos (Int),"Heinrix, Jae, Idira, Yrliet, Marazhai",,
,Medicae (int),"Kibellah, Heinrix, (1 point to use medicae kits)",,
,Tech-Use (int),"Pasqal, Idira, Yrliet, Jae",,
,,,,
,"Example: Abelard, Idira, Cassia, Argenta, Pasqal with bold skills",,,
,"Medicae, Commerce or Coercion on RT",,,
,,,,
,Jae Cold trader Bonuses:,,,
,Drusians: +(2x reputation level) % to all resistance tests and +(4x reputation level) to Lore (Imperium),,,
,Explorators: +(2x reputation level) % to armour and +(4x reputation level) to Tech-Use,,,
,Kasballica Mission: +(2x reputation level) % to dodge and parry and +(4x reputation level) to Commerce,,,
,Fellowship of the Void: +(2x reputation level) % to critical hit chance and +(4x reputation level) to Coercion,,,
,The Imperial Navy: +(2x reputation level) % to cover efficiency and +(4x reputation level) to Persuasion,,,
,,,,
,Characteristic,Explaination,,Benefits
,Weapon Skill,"Melee hit, parry, critical chance",,Melee focused archtypes
,Ballistic Skill,"Ranged hit, critical chance",,Ranged focused archtypes
,Strength,"Melee damage, increase for 2h",,Melee focused archtypes
,Toughness,"Wounds, physical resistence",,All / Tank Archtype
,Agility,"Initiative, dodge, dodge reduction 1/2 melee",,Dodge focused archtypes
,Intelligence,Area damage,,Operative abilities
,Perception,"Dodge reduction, Initiative",,Ranged focused / (All)
,WIllpower,"Mental resistance, some origin benefits",,"Psyker damage, Navigators / (All) , Priest Origin"
,Fellowship,Resolve,,"Officer buffs, (All)"
,,,,
,Companions,Role,,
,Abelard,Frontline Damage / Tank,,
,Idira,Psyker Support / Disruptor / Blaster,,
,Argenta,Ranged Damage,,
,Cassia,Navigator Support / Disruptor / Secondary Damage,,
,Pasqal,Disruptor / Secondary Damage / Secondary Support,,
,Heinrix,Psyker Frontline Damage / Blaster / Buffer / Tank,,
,Jae,Support / Secondary Damage,,
,Yrliet,Long Range Damage,,
,Ulfar,Mixed Damage / Tank,,
,Marazhai,Armour / Dodge Tank - AoE Death Aura,,
,Kibellah,Frontline Agility Damage / Dodge Tank,,
,Solomorne,Shotgun Damage Dealer,,
,,,,
,Glossary:,,,
,Word,Meaning,,
,1H / 2H,one handed / two handed - referring to if a weapons can be held with one or two hands,,
,AoO,Attack of Opportunity - some actions provoke melee attacks such as moving away or reloading,,
,Heroic Turn,Referring to finest hour being used on an ally giving them a bonus turn with no attack limit,,
,LI / LW / LX,Lore Imperium/Warp/Xenos,,
,PR,Psy Rating - psyker stat for their psychic power. Increasing this has psyker benefits.,,
,Priority Target,Someone that has used a taunt and is considered the main target,,
,RoF,Rate of Fire - how many shots a weapon will take during a burst fire,,
,WS / BS,Weapon Skill / Ballistic Skill - your melee and ranged hit chance,,
,DoT,"Damage over time. These are specific effects for Burning, Poison and bleeding",,
,Warp Damage,"A specific damage type caused by navigator powers, warp fire from psykers, perils of thhe warp or sanctic staffs",,
,Perils of the warp,"When a Psyker invokes Psychic Phenomena, usually a negative effect.",,
,Resolve,fellowship bonus +1. used to generate momentum on kill and by various talents / gear,,
,,,,
,Satus,Effect,,
,Bleeding,Suffers damage at the start of each turn.,,
,Blinded,"Suffers a -30 penalty to Ballistic Skill and Weapon Skill, as well as a -30% penalty to dodge and parry.",,
,Burning,Suffers fire damage and round.,,
,Cannot Attack,Cannot use weapons.,,
,Disturbed,Each stack grants a -10 penalty to any Willpower and Fellowship.,,
,Exhaustion,the next successful attack guarantees critical hit on that target,,
,Fatigued,"Each stack grants a -10 penalty to Strength, Toughness, and Agility and -1 movement point.",,
,Horrors of the warp,"-5 Weapon Skill, Ballistic Skill, Willpower, Strength and -1 resolve per difficulty tier of the daemon",,
,Immobilised,Immobilised targets do not regain movement points at the beginning of their turn and cannot use abilities that move them or add movement points.,,
,Melting,Each stack reduces deflection by -1 and armour by -10%,,
,Perplexed,"Each stack grants a -10 penalty to Ballistic Skill, Weapon Skill, Intelligence, and Perception.",,
,Prone,Cannot act and suffers a -30 penalty to parry and dodge.,,
,Psy Dampening,Psy rating is reduced by-1,,
,Psychosomatic Trauma,Cannot use psychic powers.,,
,Slowed,Movement points are reduced by -3.,,
,Staggered,"Suffers a -20 penalty to Weapon Skill, Ballistic Skill, Strength, Toughness, and Agility.",,
,Stunned,"While stunned, a character cannot parry, dodge, or make attacks of opportunity.",,
,Toxin,"At the start of every turn, the affected target must pass a Toughness resistance test to remove this effect or suffer damage.",,
